loan_id,member_id,book_id,loan_date,return_date,genre,late_fee
1,209,B09,2024-09-01,2024-09-15,Fiction,0.0
2,236,B06,2024-09-01,2024-09-15,,
3,215,B09,2024-09-01,2024-09-15,Art,0.0
4,200,B10,2024-09-01,2024-09-15,Technology,2.0
5,249,B10,2024-09-01,2024-09-15,,0.5
6,259,B02,2024-09-01,2024-09-15,History,1.0
7,228,B06,2024-09-02,2024-09-16,Art,1.0
8,225,B10,2024-09-02,2024-09-16,Fiction,0.0
9,229,B02,2024-09-02,2024-09-16,Fiction,0.5
10,248,B05,2024-09-02,2024-09-16,Science,2.0
11,229,B08,2024-09-02,2024-09-16,Technology,1.0
12,249,B08,2024-09-02,2024-09-16,Science,0.5
13,258,B08,2024-09-03,2024-09-17,History,0.0
14,208,B10,2024-09-03,2024-09-17,Fiction,0.0
15,209,B08,2024-09-03,2024-09-17,History,0.0
16,200,B07,2024-09-03,2024-09-17,Science,0.0
17,242,B01,2024-09-03,2024-09-17,Art,0.0
18,240,B04,2024-09-03,2024-09-17,Art,0.0
19,254,B10,2024-09-04,2024-09-18,Science,2.0
20,236,B05,2024-09-04,2024-09-18,Science,0.0
21,251,B05,2024-09-04,2024-09-18,Art,0.0
22,216,B07,2024-09-04,2024-09-18,Fiction,0.0
23,236,B09,2024-09-04,2024-09-18,Science,0.0
24,247,B05,2024-09-04,2024-09-18,Fiction,1.0
25,211,B10,2024-09-05,2024-09-19,Fiction,0.0
26,254,B03,2024-09-05,2024-09-19,Technology,0.0
27,224,B02,2024-09-05,2024-09-19,Science,0.0
28,243,B02,2024-09-05,2024-09-19,History,0.5
29,258,B07,2024-09-05,2024-09-19,Art,0.0
30,233,B04,2024-09-05,2024-09-19,Art,0.0
31,208,B05,2024-09-06,2024-09-20,History,1.0
32,236,B06,2024-09-06,2024-09-20,History,0.0
33,214,B05,2024-09-06,2024-09-20,Fiction,0.0
34,249,B01,2024-09-06,2024-09-20,Fiction,0.0
35,251,B03,2024-09-06,2024-09-20,History,0.0
36,254,B09,2024-09-06,2024-09-20,Fiction,0.0
37,213,B01,2024-09-07,2024-09-21,Technology,0.0
38,205,B08,2024-09-07,2024-09-21,History,0.0
39,213,B07,2024-09-07,2024-09-21,Technology,0.0
40,251,B06,2024-09-07,2024-09-21,Fiction,1.0
41,225,B09,2024-09-07,2024-09-21,Fiction,0.0
42,213,B03,2024-09-07,2024-09-21,Science,0.0
43,228,B03,2024-09-08,2024-09-22,History,0.0
44,222,B01,2024-09-08,2024-09-22,History,0.0
45,230,B02,2024-09-08,2024-09-22,Fiction,1.0
46,230,B03,2024-09-08,2024-09-22,History,1.0
47,225,B04,2024-09-08,2024-09-22,Technology,0.0
48,212,B06,2024-09-08,2024-09-22,Fiction,1.0
49,201,B08,2024-09-09,2024-09-23,,-1.0
50,231,B09,2024-09-09,2024-09-23,,0.0
51,257,B08,2024-09-09,2024-09-23,History,0.0
52,236,B08,2024-09-09,2024-09-23,Fiction,1.0
53,227,B07,2024-09-09,2024-09-23,Science,0.0
54,218,B10,2024-09-09,2024-09-23,Fiction,0.0
55,229,B03,2024-09-10,2024-09-24,Technology,0.0
56,213,B01,2024-09-10,2024-09-24,Fiction,1.0
57,222,B05,2024-09-10,2024-09-24,Fiction,1.0
58,223,B06,2024-09-10,2024-09-24,History,0.0
59,230,B05,2024-09-10,2024-09-24,Fiction,1.0
60,256,B07,2024-09-10,2024-09-24,Fiction,0.0
61,211,B10,2024-09-11,2024-09-25,History,0.0
62,228,B01,2024-09-11,2024-09-25,,0.0
63,210,B05,2024-09-11,2024-09-25,Fiction,-1.0
64,224,B07,2024-09-11,2024-09-25,Science,0.0
65,209,B05,2024-09-11,2024-09-25,History,0.0
66,215,B10,2024-09-11,2024-09-25,Fiction,0.0
67,218,B09,2024-09-12,2024-09-26,Fiction,0.0
68,216,B01,2024-09-12,2024-09-26,Technology,0.0
69,254,B08,2024-09-12,2024-09-26,History,0.0
70,207,B02,2024-09-12,2024-09-26,Technology,0.0
71,224,B08,2024-09-12,2024-09-26,History,-1.0
72,211,B02,2024-09-12,2024-09-26,Fiction,0.0
73,217,B02,2024-09-13,2024-09-27,History,0.0
74,246,B06,2024-09-13,2024-09-27,Art,
75,207,B06,2024-09-13,2024-09-27,History,0.0
76,211,B01,2024-09-13,2024-09-27,History,0.0
77,228,B09,2024-09-13,2024-09-27,History,0.0
78,233,B04,2024-09-13,2024-09-27,Art,0.0
79,220,B08,2024-09-14,2024-09-28,Science,0.0
80,258,B02,2024-09-14,2024-09-28,History,0.0
81,232,B06,2024-09-14,2024-09-28,Science,0.5
82,224,B03,2024-09-14,2024-09-28,Fiction,0.0
83,244,B04,2024-09-14,2024-09-28,History,0.0
84,205,B05,2024-09-14,2024-09-28,Art,0.0
85,204,B06,2024-09-15,2024-09-29,History,1.0
86,207,B08,2024-09-15,2024-09-29,Technology,
87,224,B07,2024-09-15,2024-09-29,Fiction,0.0
88,224,B09,2024-09-15,2024-09-29,Art,0.0
89,250,B01,2024-09-15,2024-09-29,Fiction,2.0
90,244,B05,2024-09-15,2024-09-29,Fiction,0.0
91,254,B07,2024-09-16,2024-09-30,Fiction,0.5
92,234,B04,2024-09-16,2024-09-30,Art,0.0
93,240,B06,2024-09-16,2024-09-30,Art,0.5
94,215,B10,2024-09-16,2024-09-30,History,0.0
95,213,B04,2024-09-16,2024-09-30,Fiction,0.0
96,224,B09,2024-09-16,2024-09-30,Fiction,2.0
97,215,B04,2024-09-17,2024-10-01,Technology,0.0
98,206,B01,2024-09-17,2024-10-01,Technology,0.0
99,254,B10,2024-09-17,2024-10-01,Fiction,0.0
100,221,B07,2024-09-17,2024-10-01,Science,2.0
101,242,B03,2024-09-17,2024-10-01,Technology,0.0
102,222,B04,2024-09-17,2024-10-01,Fiction,0.0
103,211,B10,2024-09-18,2024-10-02,History,0.0
104,248,B02,2024-09-18,2024-10-02,Technology,0.0
105,212,B05,2024-09-18,2024-10-02,Fiction,0.0
106,228,B01,2024-09-18,2024-10-02,History,0.5
107,232,B06,2024-09-18,2024-10-02,Science,0.0
108,254,B01,2024-09-18,2024-10-02,History,0.0
109,257,B09,2024-09-19,2024-10-03,Science,0.0
110,249,B02,2024-09-19,2024-10-03,History,0.0
111,215,B04,2024-09-19,2024-10-03,Technology,1.0
112,244,B07,2024-09-19,2024-10-03,Technology,0.0
113,240,B01,2024-09-19,2024-10-03,Fiction,0.5
114,242,B01,2024-09-19,2024-10-03,History,0.0
115,245,B07,2024-09-20,2024-10-04,Science,0.0
